heart_rate,cadence,power,core_temperature,skin_temperature
141,89,263,37.72,31.1
141,89,263,37.72,31.1
141,89,265,37.71,31.1
141,89,265,37.71,31.1
140,89,260,37.71,31.1
140,86,244,37.71,31.1
140,86,236,37.71,31.1
139,86,234,37.71,31.1
139,86,233,37.71,31.1
139,86,233,37.71,31.1
139,88,238,37.71,31.1
139,89,245,37.71,31.1
140,89,257,37.71,31.1
140,89,259,37.7,31.1
140,89,261,37.7,31.1
140,89,262,37.7,31.1
140,89,263,37.7,31.1
140,89,262,37.7,31.1
140,89,259,37.7,31.1
141,89,257,37.7,31.1
140,89,259,37.7,31.1
141,90,257,37.7,31.1
141,88,256,37.72,31.1
141,88,256,37.72,31.1
141,89,254,37.72,31.1
141,89,254,37.72,31.1
141,89,258,37.72,31.1
141,89,256,37.72,31.1
141,89,259,37.72,31.1
141,89,257,37.72,31.1
141,90,255,37.72,31.1
140,90,255,37.72,31.1
140,90,258,37.71,31.1
140,90,258,37.71,31.1
140,90,261,37.71,31.1
140,90,262,37.71,31.1
140,90,263,37.71,31.1
140,90,269,37.71,31.1
140,89,272,37.71,31.1
140,89,272,37.71,31.1
140,90,272,37.71,31.1
140,90,270,37.71,31.1
140,90,273,37.72,31.1
140,91,272,37.73,31.1
140,91,270,37.73,31.1
140,91,267,37.73,31.1
140,91,266,37.73,31.1
140,91,264,37.73,31.1
140,91,260,37.73,31.1
140,90,258,37.73,31.1
140,90,257,37.73,31.1
141,90,257,37.73,31.1
141,90,255,37.73,31.1
141,90,254,37.74,31.1
141,90,250,37.74,31.1
142,90,250,37.74,31.1
142,90,250,37.74,31.1
142,89,250,37.74,31.1
143,89,250,37.74,31.1
143,89,252,37.74,31.1
143,88,251,37.74,31.1
142,87,250,37.74,31.1
143,87,251,37.73,31.1
142,86,249,37.73,31.1
142,85,247,37.73,31.1
142,84,242,37.73,31.1
142,83,238,37.73,31.1
143,83,225,37.73,31.1
142,82,221,37.73,31.1
142,82,209,37.73,31.1
142,82,203,37.73,31.1
142,82,197,37.73,31.1
142,82,196,37.72,31.1
141,82,196,37.72,31.1
141,82,198,37.72,31.1
141,82,201,37.72,31.1
140,82,205,37.72,31.1
140,84,209,37.72,31.1
140,84,211,37.72,31.1
140,83,217,37.72,31.1
139,83,214,37.72,31.1
139,84,211,37.72,31.1
138,84,211,37.72,31.1
137,83,213,37.72,31.1
137,84,213,37.72,31.1
135,84,214,37.72,31.1
135,84,213,37.72,31.1
134,84,215,37.72,31.1
133,85,219,37.74,31.1
132,85,219,37.74,31.1
132,85,216,37.74,31.1
131,85,215,37.74,31.1
131,85,213,37.74,31.1
130,85,215,37.74,31.1
130,87,216,37.74,31.1
129,87,218,37.74,31.1
129,87,225,37.74,31.1
129,87,227,37.74,31.1
128,87,237,37.74,31.1
128,88,240,37.74,31.1
128,88,241,37.74,31.1
129,88,241,37.74,31.1
128,88,241,37.74,31.1
128,88,244,37.74,31.1
127,88,246,37.74,31.1
126,88,247,37.74,31.1
126,88,249,37.74,31.1
126,88,248,37.74,31.1
126,88,246,37.74,31.1
126,88,246,37.74,31.1
126,89,240,37.75,31.15
126,90,235,37.75,31.15
126,91,232,37.76,31.15
125,91,229,37.76,31.15
126,91,228,37.76,31.15
126,91,227,37.76,31.15
126,91,225,37.76,31.15
126,90,230,37.76,31.15
126,90,235,37.76,31.15
126,90,244,37.76,31.15
126,90,246,37.76,31.15
126,89,249,37.76,31.15
126,89,250,37.75,31.15
126,89,259,37.75,31.15
126,89,259,37.75,31.15
126,89,258,37.75,31.15
127,89,257,37.75,31.15
127,89,260,37.75,31.2
127,89,261,37.75,31.2
128,89,256,37.75,31.2
128,89,254,37.75,31.2
128,90,253,37.76,31.2
129,90,254,37.75,31.2
130,90,258,37.75,31.2
130,90,262,37.75,31.2
131,90,268,37.75,31.2
131,90,273,37.75,31.2
132,90,278,37.75,31.2
132,89,287,37.75,31.2
132,89,292,37.75,31.2
132,89,288,37.75,31.2
133,89,282,37.75,31.2
133,89,280,37.76,31.2
134,89,278,37.76,31.2
134,89,270,37.76,31.2
135,89,270,37.76,31.25
135,89,246,37.76,31.25
136,89,243,37.76,31.25
136,89,244,37.76,31.25
137,89,242,37.76,31.25
137,89,242,37.76,31.25
